,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
40542,1293500.0,1950.0,1075000.0,90034,Single Family Residence,2.0,1.0,34.02833,-118.422395,1071.0,1.0,6440.0,2017-10-17,1,1,0,0,0,1,1,1,1,1,0,0,0,0,70.0,10,2017,1,2017-09-17,2.296688541140846
40543,1199000.0,2017.0,1199000.0,90034,Townhouse,3.0,3.0,34.032822,-118.379065,1776.0,2.0,5000.0,2017-11-15,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3.0,11,2017,1,2017-10-16,2.3
40544,1237000.0,1931.0,1199000.0,90034,Single Family Residence,2.0,2.0,34.039149,-118.3864,1528.0,1.0,5000.0,2017-11-28,1,1,0,0,0,1,1,1,1,1,1,1,0,0,89.0,11,2017,1,2017-10-29,2.296688541140846
40545,3995000.0,2017.0,4195000.0,90034,Single Family Residence,6.0,7.0,34.041585,-118.397045,5269.0,2.0,10201.0,2017-11-22,0,1,0,0,0,1,1,1,1,1,1,0,1,0,3.0,11,2017,1,2017-10-23,2.38
40547,1250470.0,1939.0,1196000.0,90034,Single Family Residence,3.0,2.0,34.018818,-118.417327,1241.0,1.0,5910.0,2017-10-25,0,1,0,0,0,1,1,1,1,1,1,0,0,1,81.0,10,2017,1,2017-09-25,2.22
40548,1375000.0,1943.0,1335000.0,90034,Single Family Residence,3.0,2.0,34.026888,-118.418816,1200.0,1.0,6928.0,2017-10-19,1,1,0,0,0,1,0,1,1,1,1,1,0,1,77.0,10,2017,1,2017-09-19,2.24
40549,1410000.0,1949.0,1299000.0,90034,Single Family Residence,3.0,2.0,34.038411,-118.39733,1244.0,1.0,5470.0,2017-09-29,1,1,0,0,0,1,0,1,1,1,1,0,0,0,71.0,9,2017,1,2017-08-30,2.15
40550,1200000.0,1932.0,1049000.0,90034,Single Family Residence,2.0,1.0,34.01717,-118.4162,1194.0,1.0,4947.0,2017-09-26,1,1,0,0,0,1,1,1,1,1,1,1,0,0,88.0,9,2017,1,2017-08-27,2.296688541140846
40551,2015000.0,1937.0,1999999.0,90034,Single Family Residence,3.0,3.0,34.023101000000004,-118.408584,1892.0,1.0,7500.0,2017-10-18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,83.0,10,2017,1,2017-09-18,2.23
40552,1260000.0,1951.0,1299000.0,90034,Single Family Residence,4.0,3.0,34.016023,-118.415294,1658.0,1.0,4917.0,2017-10-30,1,1,0,0,0,0,1,1,1,1,1,0,0,0,69.0,10,2017,1,2017-09-30,2.296688541140846
40553,690000.0,1974.0,655000.0,90034,Condominium,2.0,3.0,34.025022,-118.399693,994.0,2.0,21472.0,2017-10-13,0,0,1,0,0,1,1,1,1,1,1,0,0,1,46.0,10,2017,1,2017-09-13,2.2
