,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
1,1890000.0,1941.0,1800000.0,90405,Single Family Residence,2.0,1.0,34.020163000000004,-118.460235,1265.0,1.0,7814.0,2018-01-24,1,1,0,0,0,1,0,1,1,1,1,0,0,0,79.0,1,2018,1,2017-12-25,1.77
2,720000.0,1964.0,775000.0,90405,Condominium,1.0,1.0,34.004771000000005,-118.482761,665.0,2.0,7159.0,2018-04-10,0,0,1,0,0,1,0,0,1,1,1,0,0,1,56.0,4,2018,0,2018-03-11,2.836564088841302
3,1550000.0,1936.0,1695000.0,90405,Single Family Residence,3.0,2.0,34.019241,-118.464033,1471.0,1.0,6740.0,2018-02-21,1,1,0,0,0,1,0,1,1,1,1,1,0,0,84.0,2,2018,1,2018-01-22,2.66
4,525000.0,1950.0,499000.0,90405,Condominium,1.0,1.0,34.02633400000001,-118.4521,627.0,2.0,17862.0,2018-01-11,0,0,1,0,0,1,0,0,0,1,1,1,0,1,70.0,1,2018,1,2017-12-12,2.4
5,1211000.0,1967.0,995000.0,90405,Condominium,3.0,2.0,34.004162,-118.47618,1130.0,2.0,6416.0,2018-01-24,0,0,1,0,0,1,0,0,1,1,1,1,0,1,53.0,1,2018,1,2017-12-25,1.77
6,1710000.0,1927.0,1650000.0,90405,Single Family Residence,2.0,1.0,34.012443,-118.463262,1112.0,1.0,7014.0,2017-11-30,1,1,0,0,0,0,0,1,0,0,1,0,0,0,93.0,11,2017,1,2017-10-31,2.38
7,790000.0,1963.0,,90405,Townhouse,2.0,3.0,34.008618,-118.482418,1140.0,1.0,6704.0,2017-11-28,0,0,0,0,1,1,0,1,0,1,1,0,0,1,57.0,11,2017,1,2017-10-29,2.296688541140846
8,1850000.0,1940.0,1795000.0,90405,Single Family Residence,3.0,2.0,34.015543,-118.462954,1670.0,1.0,6759.0,2017-12-29,1,1,0,0,0,1,0,1,1,1,1,1,0,0,80.0,12,2017,1,2017-11-29,2.37
9,1350000.0,1980.0,1250000.0,90405,Condominium,3.0,3.0,34.007488,-118.473372,1836.0,2.0,9993.0,2017-12-21,0,0,1,0,0,1,0,1,1,1,1,1,0,1,40.0,12,2017,1,2017-11-21,2.36
10,1950000.0,1948.0,2200000.0,90405,Single Family Residence,3.0,3.0,34.008202000000004,-118.460291,2228.0,3.0,7655.0,2018-02-27,1,1,0,0,0,1,0,0,1,1,1,1,0,1,72.0,2,2018,1,2018-01-28,2.836564088841302
11,1950000.0,1909.0,1950000.0,90405,Single Family Residence,3.0,1.0,34.003643,-118.47543799999998,1364.0,1.0,5663.0,2017-12-04,1,1,0,0,0,1,0,0,1,1,1,0,0,0,111.0,12,2017,1,2017-11-04,2.296688541140846
12,975000.0,1921.0,1925000.0,90405,Single Family Residence,3.0,1.0,34.008403,-118.483478,1200.0,2.0,5625.0,2018-02-22,0,1,0,0,0,1,0,1,1,1,1,1,0,0,99.0,2,2018,1,2018-01-23,2.63
13,2000000.0,1940.0,2000000.0,90405,Single Family Residence,3.0,2.0,34.007009000000004,-118.462668,1453.0,1.0,9035.0,2018-01-19,1,1,0,0,0,1,1,1,1,1,1,0,0,0,80.0,1,2018,1,2017-12-20,2.49
14,1050000.0,1990.0,1230000.0,90405,Townhouse,2.0,3.0,34.012368,-118.479318,1481.0,3.0,6479.0,2018-05-25,0,0,0,0,1,1,0,1,1,1,1,0,0,1,30.0,5,2018,0,2018-04-25,3.03
15,1537500.0,2008.0,1649000.0,90405,Single Family Residence,2.0,2.0,34.002429,-118.471795,1484.0,2.0,2001.0,2018-03-01,1,1,0,0,0,1,1,0,1,1,1,0,0,1,12.0,3,2018,0,2018-01-30,2.73
16,3085500.0,2017.0,3349000.0,90405,Single Family Residence,4.0,4.0,34.001833000000005,-118.473538,2474.0,2.0,3001.0,2018-02-05,1,1,0,0,0,1,0,0,1,1,1,1,0,1,3.0,2,2018,1,2018-01-06,2.836564088841302
18,1835000.0,1938.0,1849000.0,90405,Single Family Residence,3.0,2.0,34.017335,-118.465652,1650.0,2.0,5175.0,2018-05-23,1,1,0,0,0,0,0,1,1,1,0,1,0,1,82.0,5,2018,0,2018-04-23,2.98
19,1275000.0,1974.0,1250000.0,90405,Condominium,2.0,2.0,34.006871000000004,-118.485051,1189.0,3.0,8988.0,2018-01-23,0,0,1,0,0,1,1,1,1,1,1,0,0,1,46.0,1,2018,1,2017-12-24,2.836564088841302
20,1520000.0,1910.0,1500000.0,90405,Single Family Residence,1.0,1.0,34.004174,-118.484943,1002.0,1.0,2503.0,2017-12-08,1,1,0,0,0,1,0,0,1,1,1,1,0,0,110.0,12,2017,1,2017-11-08,2.32
23,896000.0,1977.0,849000.0,90405,Condominium,2.0,2.0,34.014426,-118.477492,1115.0,2.0,28868.0,2017-12-07,0,0,1,0,0,1,0,1,1,1,1,0,0,0,43.0,12,2017,1,2017-11-07,2.32
24,3150000.0,2017.0,3295000.0,90405,Single Family Residence,4.0,5.0,34.021747,-118.452825,3239.0,1.0,6000.0,2017-12-29,1,1,0,0,0,1,1,1,1,1,0,0,1,1,3.0,12,2017,1,2017-11-29,2.37
25,1814105.0,1956.0,1695000.0,90405,Single Family Residence,3.0,2.0,34.006258,-118.467007,1443.0,1.0,5308.0,2017-11-21,1,1,0,0,0,1,1,1,1,1,1,0,0,0,64.0,11,2017,1,2017-10-22,2.296688541140846
26,3200000.0,2017.0,3495000.0,90405,Single Family Residence,5.0,6.0,34.017596000000005,-118.460412,3798.0,2.0,6880.0,2018-03-27,1,1,0,0,0,1,1,1,1,1,1,1,0,0,3.0,3,2018,0,2018-02-25,2.836564088841302
27,1020000.0,1911.0,995000.0,90405,Condominium,1.0,1.0,34.005414,-118.483747,756.0,1.0,29781.0,2017-11-28,1,0,1,0,0,1,0,1,1,1,0,0,0,1,109.0,11,2017,1,2017-10-29,2.296688541140846
28,4325000.0,2017.0,4500000.0,90405,Single Family Residence,5.0,6.0,34.010363,-118.459454,4145.0,3.0,6991.0,2017-12-28,1,1,0,0,0,1,1,1,1,1,1,1,1,1,3.0,12,2017,1,2017-11-28,2.34
29,1970000.0,2011.0,1995000.0,90405,Condominium,2.0,3.0,34.005278000000004,-118.488344,1450.0,1.0,18130.0,2017-11-22,0,0,1,0,0,1,0,0,1,1,1,0,0,1,9.0,11,2017,1,2017-10-23,2.38
30,541000.0,1953.0,499500.0,90405,Condominium,1.0,1.0,34.014523,-118.476281,570.0,1.0,42905.0,2017-11-09,0,0,1,0,0,1,0,0,1,1,0,0,0,1,67.0,11,2017,1,2017-10-10,2.35
32,800000.0,1973.0,815000.0,90405,Condominium,1.0,1.0,34.004168,-118.48811200000002,865.0,3.0,10396.0,2017-11-07,0,0,1,0,0,1,1,0,1,1,1,0,0,1,47.0,11,2017,1,2017-10-08,2.296688541140846
33,660000.0,1971.0,639000.0,90405,Condominium,1.0,1.0,34.004445000000004,-118.482436,643.0,1.0,7149.0,2017-11-22,0,0,1,0,0,1,0,1,1,1,1,0,0,1,49.0,11,2017,1,2017-10-23,2.38
34,1647000.0,1929.0,1729000.0,90405,Single Family Residence,3.0,2.0,34.008927,-118.477347,1713.0,1.0,6458.0,2017-11-21,1,1,0,0,0,0,0,1,1,1,1,1,0,0,91.0,11,2017,1,2017-10-22,2.296688541140846
35,1300000.0,1944.0,1295000.0,90405,Single Family Residence,2.0,1.0,34.004283,-118.46875,775.0,1.0,5114.0,2017-12-18,1,1,0,0,0,1,0,0,1,1,1,0,0,0,76.0,12,2017,1,2017-11-18,2.296688541140846
36,2000000.0,2004.0,1995000.0,90405,Single Family Residence,3.0,3.0,34.001837,-118.472297,2135.0,3.0,2000.0,2017-11-03,0,1,0,0,0,1,1,1,1,1,1,1,0,1,16.0,11,2017,1,2017-10-04,2.33
37,900000.0,1922.0,799000.0,90405,Condominium,1.0,1.0,34.004973,-118.48361,693.0,1.0,15464.0,2017-10-31,1,0,1,0,0,1,1,0,0,1,1,0,0,0,98.0,10,2017,1,2017-10-01,2.296688541140846
38,1399000.0,1989.0,1499000.0,90405,Condominium,2.0,3.0,34.009374,-118.4818,1490.0,1.0,11934.0,2018-02-16,0,0,1,0,0,1,0,1,1,1,1,0,0,1,31.0,2,2018,1,2018-01-17,2.57
39,620000.0,1972.0,595000.0,90405,Condominium,1.0,1.0,34.001016,-118.481057,643.0,2.0,26025.0,2017-11-13,0,0,1,0,0,1,0,0,1,1,1,0,0,1,48.0,11,2017,1,2017-10-14,2.296688541140846
40,1950000.0,1932.0,1995000.0,90405,Single Family Residence,4.0,4.0,34.005071,-118.484839,1639.0,1.0,5588.0,2017-10-11,1,1,0,0,0,1,0,1,1,1,1,1,0,0,88.0,10,2017,1,2017-09-11,2.14
41,1500000.0,1989.0,1399000.0,90405,Condominium,3.0,3.0,34.006998,-118.484866,1700.0,2.0,8491.0,2017-10-06,0,0,1,0,0,0,0,1,1,0,1,0,0,0,31.0,10,2017,1,2017-09-06,2.1
42,629000.0,1973.0,634000.0,90405,Condominium,1.0,1.0,34.003108000000005,-118.479176,694.0,2.0,14784.0,2017-11-15,0,0,1,0,0,0,0,1,1,1,1,0,0,0,47.0,11,2017,1,2017-10-16,2.3
43,2105000.0,1926.0,1995000.0,90405,Single Family Residence,3.0,2.0,34.014071,-118.46045,1451.0,1.0,7013.0,2017-11-02,1,1,0,0,0,1,1,1,1,1,1,0,0,0,94.0,11,2017,1,2017-10-03,2.33
44,3595000.0,2017.0,3595000.0,90405,Single Family Residence,4.0,5.0,34.012432000000004,-118.475196,3696.0,2.0,7463.0,2017-11-21,1,1,0,0,0,1,1,1,1,1,1,1,0,1,3.0,11,2017,1,2017-10-22,2.296688541140846
45,2650000.0,1989.0,2695000.0,90405,Townhouse,3.0,3.0,34.004526,-118.488471,2143.0,2.0,12982.0,2017-11-01,0,0,0,0,1,1,0,1,1,1,1,1,0,1,31.0,11,2017,1,2017-10-02,2.34
46,695000.0,1977.0,649000.0,90405,Condominium,2.0,1.0,34.014712,-118.478952,873.0,1.0,14832.0,2017-10-04,0,0,1,0,0,1,0,0,1,1,1,1,0,1,43.0,10,2017,1,2017-09-04,1.77
48,1950000.0,2006.0,1995000.0,90405,Condominium,2.0,2.0,33.998090000000005,-118.479122,1730.0,4.0,23692.0,2017-10-20,0,0,1,0,0,1,1,0,1,1,1,1,0,1,14.0,10,2017,1,2017-09-20,2.28
49,535000.0,1958.0,499000.0,90405,Condominium,1.0,1.0,34.024755,-118.450781,634.0,1.0,17455.0,2017-09-13,0,0,1,0,0,1,0,0,1,1,1,0,1,0,62.0,9,2017,1,2017-08-14,2.22
50,1257000.0,1991.0,1325000.0,90405,Condominium,2.0,2.0,34.000275,-118.478875,1072.0,1.0,30968.0,2017-09-25,0,0,1,0,0,1,1,1,1,1,1,0,0,1,29.0,9,2017,1,2017-08-26,2.296688541140846
51,635000.0,1969.0,579000.0,90405,Condominium,1.0,1.0,34.008298,-118.485253,699.0,3.0,55216.0,2017-09-21,0,0,1,0,0,1,1,0,1,1,1,1,0,1,51.0,9,2017,1,2017-08-22,2.22
52,1065000.0,1980.0,989000.0,90405,Condominium,3.0,3.0,34.023402000000004,-118.44965,1777.0,4.0,34069.0,2017-09-14,0,0,1,0,0,1,1,1,1,0,1,1,1,1,40.0,9,2017,1,2017-08-15,2.27
53,1550000.0,1993.0,1450000.0,90405,Condominium,2.0,3.0,34.001102,-118.476533,1866.0,1.0,7499.0,2017-09-14,0,0,1,0,0,1,1,1,1,1,1,1,0,0,27.0,9,2017,1,2017-08-15,2.27
54,2500000.0,1941.0,,90405,Single Family Residence,4.0,4.0,34.020832,-118.460104,2829.0,2.0,6023.0,2017-08-07,1,1,0,0,0,1,0,1,1,1,1,0,0,0,79.0,8,2017,0,2017-07-08,2.296688541140846
55,1900000.0,1927.0,1799000.0,90405,Single Family Residence,3.0,2.0,34.017821999999995,-118.46588,1525.0,1.0,5187.0,2017-09-08,1,1,0,0,0,1,0,1,1,1,1,0,0,0,93.0,9,2017,1,2017-08-09,2.24
56,1550000.0,1989.0,1550000.0,90405,Townhouse,2.0,3.0,34.007518,-118.480037,1658.0,3.0,7950.0,2017-09-20,0,0,0,0,1,1,1,1,1,1,1,0,0,1,31.0,9,2017,1,2017-08-21,2.18
57,1330000.0,1975.0,1349000.0,90405,Townhouse,2.0,3.0,34.00043400000001,-118.476719,1402.0,1.0,7497.0,2017-09-15,0,0,0,0,1,1,0,1,1,1,1,0,0,1,45.0,9,2017,1,2017-08-16,2.23
58,2006000.0,1935.0,1999000.0,90405,Single Family Residence,5.0,2.0,34.014406,-118.458717,1840.0,2.0,6997.0,2017-09-14,1,1,0,0,0,1,0,1,1,1,1,0,0,0,85.0,9,2017,1,2017-08-15,2.27
59,2300000.0,1905.0,2389000.0,90405,Single Family Residence,3.0,3.0,34.00288,-118.485823,1878.0,1.0,3072.0,2017-10-12,0,1,0,0,0,1,0,1,1,1,1,0,0,0,115.0,10,2017,1,2017-09-12,2.17
60,1280000.0,1979.0,1339000.0,90405,Condominium,4.0,3.0,34.001078,-118.478053,1629.0,2.0,24024.0,2017-09-22,0,0,1,0,0,1,0,0,1,1,1,0,0,0,41.0,9,2017,1,2017-08-23,2.17
61,1295000.0,1990.0,1288000.0,90405,Condominium,3.0,2.0,34.007507000000004,-118.484043,1450.0,3.0,11228.0,2017-09-19,0,0,1,0,0,1,0,1,1,1,1,0,0,0,30.0,9,2017,1,2017-08-20,2.296688541140846
62,1175000.0,1946.0,1275000.0,90405,Single Family Residence,2.0,1.0,34.005013,-118.472099,1070.0,1.0,3397.0,2017-08-28,1,1,0,0,0,1,0,1,1,1,1,0,0,0,74.0,8,2017,0,2017-07-29,2.296688541140846
63,3550000.0,1905.0,3695000.0,90405,Single Family Residence,6.0,2.0,34.003187,-118.486693,3016.0,2.0,3278.0,2017-11-07,1,1,0,0,0,0,0,1,1,1,1,0,0,1,115.0,11,2017,1,2017-10-08,2.296688541140846
64,1880000.0,1940.0,1599000.0,90405,Single Family Residence,3.0,2.0,34.010086,-118.469394,1108.0,1.0,6966.0,2017-08-08,1,1,0,0,0,0,0,1,1,0,1,0,0,1,80.0,8,2017,0,2017-07-09,2.296688541140846
66,910000.0,1966.0,889000.0,90405,Condominium,2.0,2.0,34.007218,-118.482647,916.0,2.0,28026.0,2017-09-01,0,0,1,0,0,1,0,1,1,1,1,0,0,0,54.0,9,2017,1,2017-08-02,2.27
67,910000.0,1982.0,859000.0,90405,Townhouse,2.0,3.0,34.026403,-118.45293,1307.0,2.0,57629.0,2017-08-14,0,0,0,0,1,1,1,1,1,1,1,1,0,1,38.0,8,2017,0,2017-07-15,2.296688541140846
68,2449000.0,1958.0,2800000.0,90405,Single Family Residence,4.0,3.0,34.006840000000004,-118.468045,3208.0,2.0,10167.0,2017-09-28,1,1,0,0,0,1,0,1,1,1,1,1,0,1,62.0,9,2017,1,2017-08-29,2.13
69,1850000.0,1933.0,1975000.0,90405,Single Family Residence,2.0,1.0,34.018796,-118.467103,1359.0,1.0,6762.0,2017-11-17,1,1,0,0,0,1,0,1,1,1,1,0,0,0,87.0,11,2017,1,2017-10-18,2.34
70,1745000.0,1929.0,1900000.0,90405,Single Family Residence,3.0,2.0,34.019715000000005,-118.467253,1488.0,1.0,6760.0,2017-08-15,1,1,0,0,0,0,0,1,0,1,1,0,0,0,91.0,8,2017,0,2017-07-16,2.296688541140846
71,1144000.0,1908.0,1450000.0,90405,Single Family Residence,2.0,2.0,33.999396999999995,-118.478238,960.0,1.0,7738.0,2017-09-19,1,1,0,0,0,1,1,0,1,1,0,1,0,1,112.0,9,2017,1,2017-08-20,2.296688541140846
72,1885000.0,1986.0,1750000.0,90405,Townhouse,3.0,3.0,34.007876,-118.48656499999998,1882.0,3.0,4202.0,2017-08-18,0,0,0,0,1,1,1,0,1,1,1,1,0,1,34.0,8,2017,0,2017-07-19,2.27
74,1475000.0,1990.0,,90405,Condominium,2.0,3.0,34.009459,-118.484545,1669.0,1.0,5626.0,2017-06-30,0,0,1,0,0,0,1,1,1,1,1,0,0,1,30.0,6,2017,0,2017-05-31,2.21
75,1065000.0,1954.0,885500.0,90405,Single Family Residence,3.0,2.0,34.009562,-118.456372,1319.0,1.0,5054.0,2017-08-21,1,1,0,0,0,0,0,1,1,1,1,1,0,0,66.0,8,2017,0,2017-07-22,2.296688541140846
76,2350000.0,1941.0,2350000.0,90405,Single Family Residence,3.0,3.0,34.008119,-118.46551399999998,2314.0,1.0,5261.0,2017-08-03,1,1,0,0,0,0,1,1,1,1,1,0,0,1,79.0,8,2017,0,2017-07-04,1.77
77,1900000.0,1948.0,1789000.0,90405,Single Family Residence,3.0,2.0,34.019915999999995,-118.465218,1790.0,1.0,6746.0,2017-08-15,1,1,0,0,0,1,0,1,1,1,1,0,0,0,72.0,8,2017,0,2017-07-16,2.296688541140846
78,2400000.0,1924.0,2495000.0,90405,Single Family Residence,4.0,5.0,34.011775,-118.475119,2227.0,2.0,5958.0,2017-09-06,1,1,0,0,0,1,0,1,1,1,1,0,0,1,96.0,9,2017,1,2017-08-07,2.26
79,2361280.0,1944.0,2295000.0,90405,Single Family Residence,4.0,5.0,34.019991,-118.460731,2542.0,2.0,6948.0,2017-07-21,1,1,0,0,0,1,1,1,1,1,1,1,0,0,76.0,7,2017,0,2017-06-21,2.16
80,2255000.0,1940.0,2285000.0,90405,Single Family Residence,4.0,4.0,34.009277000000004,-118.463257,2777.0,2.0,5320.0,2017-08-09,1,1,0,0,0,1,0,1,1,1,1,1,0,1,80.0,8,2017,0,2017-07-10,2.38
81,429000.0,1972.0,439000.0,90405,Condominium,1.0,1.0,34.001016,-118.481057,643.0,1.0,26025.0,2017-07-28,0,0,1,0,0,1,0,0,1,1,1,1,0,1,48.0,7,2017,0,2017-06-28,2.22
83,1870000.0,1906.0,1840000.0,90405,Single Family Residence,3.0,3.0,34.00366,-118.47614,1888.0,2.0,5647.0,2017-08-15,1,1,0,0,0,1,0,1,1,1,1,1,0,0,114.0,8,2017,0,2017-07-16,2.296688541140846
84,2136000.0,1935.0,1995000.0,90405,Single Family Residence,3.0,3.0,34.009514,-118.463062,1818.0,1.0,6702.0,2017-07-28,1,1,0,0,0,1,1,1,1,1,1,0,0,0,85.0,7,2017,0,2017-06-28,2.22
86,1205000.0,1980.0,1175000.0,90405,Condominium,3.0,3.0,34.007483,-118.473386,1836.0,2.0,9993.0,2017-07-24,0,0,1,0,0,1,0,1,1,1,1,1,0,1,40.0,7,2017,0,2017-06-24,2.296688541140846
87,1670000.0,1956.0,1699000.0,90405,Single Family Residence,3.0,2.0,34.003388,-118.469672,1654.0,1.0,6086.0,2017-08-18,1,1,0,0,0,1,1,1,1,1,1,0,0,0,64.0,8,2017,0,2017-07-19,2.27
88,2350000.0,1928.0,2250000.0,90405,Single Family Residence,4.0,2.0,34.000601,-118.478536,2404.0,1.0,7761.0,2017-11-14,1,1,0,0,0,1,0,1,1,1,1,0,0,0,92.0,11,2017,1,2017-10-15,2.296688541140846
91,1685000.0,1950.0,,90405,Single Family Residence,2.0,1.0,34.010191,-118.46613899999998,1226.0,1.0,7016.0,2016-09-08,0,1,0,0,0,0,0,1,1,0,0,0,0,1,70.0,9,2016,1,2016-08-09,1.55
92,2000000.0,1949.0,2095000.0,90405,Single Family Residence,4.0,2.0,34.013696,-118.461417,2016.0,1.0,6950.0,2017-08-03,1,1,0,0,0,1,1,0,1,1,0,0,0,0,71.0,8,2017,0,2017-07-04,1.77
93,2485000.0,1940.0,2195000.0,90405,Single Family Residence,3.0,2.0,34.008599,-118.468801,2233.0,1.0,6973.0,2017-07-07,1,1,0,0,0,1,1,1,1,1,1,1,0,0,80.0,7,2017,0,2017-06-07,2.18
94,1160000.0,1941.0,1199000.0,90405,Single Family Residence,3.0,2.0,34.005761,-118.47146399999998,1230.0,2.0,4011.0,2017-07-25,1,1,0,0,0,1,0,0,1,1,1,1,0,0,79.0,7,2017,0,2017-06-25,2.296688541140846
95,1550000.0,1950.0,,90405,Single Family Residence,2.0,2.0,34.022202,-118.452368,1211.0,1.0,6380.0,2017-06-23,1,1,0,0,0,1,0,0,1,1,1,0,0,0,70.0,6,2017,0,2017-05-24,2.26
96,1050000.0,1981.0,998000.0,90405,Condominium,2.0,2.0,34.012105,-118.481751,1404.0,1.0,17853.0,2017-06-20,1,0,1,0,0,1,1,0,1,1,1,1,0,0,39.0,6,2017,0,2017-05-21,2.296688541140846
97,899000.0,1982.0,920000.0,90405,Townhouse,3.0,3.0,34.026403,-118.45293,1285.0,2.0,57629.0,2017-09-27,0,0,0,0,1,1,1,1,1,1,0,1,0,1,38.0,9,2017,1,2017-08-28,2.16
98,2075000.0,2015.0,2100000.0,90405,Condominium,3.0,3.0,34.009305,-118.486448,2252.0,1.0,6533.0,2018-01-26,0,0,1,0,0,1,1,0,1,1,1,0,0,1,5.0,1,2018,1,2017-12-27,2.42
99,1865000.0,1938.0,1795000.0,90405,Single Family Residence,3.0,2.0,34.01166,-118.466942,1396.0,1.0,7000.0,2017-07-26,1,1,0,0,0,1,0,1,1,1,1,1,0,0,82.0,7,2017,0,2017-06-26,2.14
100,3330000.0,2017.0,3395000.0,90405,Single Family Residence,4.0,4.0,34.022287,-118.451715,3486.0,2.0,6427.0,2017-06-23,0,1,0,0,0,1,1,1,1,1,1,1,0,0,3.0,6,2017,0,2017-05-24,2.26
101,560000.0,1963.0,549975.0,90405,Condominium,1.0,1.0,34.010781,-118.470323,694.0,1.0,6286.0,2017-07-19,0,0,1,0,0,1,0,0,0,1,1,1,0,1,57.0,7,2017,0,2017-06-19,2.19
102,2100000.0,2015.0,2200000.0,90405,Townhouse,3.0,3.0,34.009305,-118.486448,2111.0,2.0,6533.0,2017-10-31,0,0,0,0,1,1,1,0,1,1,1,0,0,1,5.0,10,2017,1,2017-10-01,2.296688541140846
104,2795000.0,2017.0,2795000.0,90405,Single Family Residence,4.0,3.0,34.002543,-118.473002,2463.0,2.0,2506.0,2017-06-23,1,1,0,0,0,1,1,1,1,1,1,1,0,0,3.0,6,2017,0,2017-05-24,2.26
105,830000.0,1967.0,925000.0,90405,Condominium,2.0,2.0,34.006688,-118.48356,979.0,3.0,41620.0,2017-08-10,0,0,1,0,0,1,0,0,0,1,1,0,1,1,53.0,8,2017,0,2017-07-11,2.37
106,640000.0,1967.0,,90405,Condominium,1.0,1.0,34.006688,-118.48356,673.0,3.0,41620.0,2017-05-09,0,0,1,0,0,1,0,0,0,1,1,0,1,1,53.0,5,2017,0,2017-04-09,2.296688541140846
107,2090000.0,1940.0,1969000.0,90405,Single Family Residence,4.0,2.0,34.017879,-118.459976,1838.0,1.0,6940.0,2017-06-27,1,1,0,0,0,1,1,1,1,1,1,0,1,0,80.0,6,2017,0,2017-05-28,2.296688541140846
110,2015000.0,1944.0,1850000.0,90405,Single Family Residence,3.0,2.0,34.007614000000004,-118.472398,1500.0,1.0,5818.0,2017-06-21,0,1,0,0,0,1,0,0,1,1,1,0,0,0,76.0,6,2017,0,2017-05-22,2.25
111,1557000.0,1993.0,1495000.0,90405,Townhouse,2.0,3.0,34.001103,-118.476541,1656.0,1.0,7499.0,2017-05-26,0,0,0,0,1,1,0,1,1,1,1,0,0,1,27.0,5,2017,0,2017-04-26,2.32
112,1900000.0,2006.0,2165000.0,90405,Condominium,2.0,2.0,33.998090000000005,-118.479122,1660.0,1.0,23692.0,2017-06-05,0,0,1,0,0,1,1,0,1,1,1,0,0,0,14.0,6,2017,0,2017-05-06,2.296688541140846
113,2150000.0,1940.0,1995000.0,90405,Single Family Residence,4.0,3.0,34.024623,-118.455998,2064.0,2.0,5981.0,2017-05-31,1,1,0,0,0,1,0,1,1,1,1,0,0,1,80.0,5,2017,0,2017-05-01,2.33
114,2315000.0,1926.0,2295000.0,90405,Single Family Residence,3.0,2.0,34.013283,-118.460702,2158.0,1.0,6997.0,2017-05-31,1,1,0,0,0,1,1,1,1,1,0,1,0,0,94.0,5,2017,0,2017-05-01,2.33
117,1775000.0,1927.0,1649000.0,90405,Single Family Residence,3.0,2.0,34.004568,-118.471013,1588.0,1.0,4755.0,2017-05-22,1,1,0,0,0,1,0,1,1,1,1,1,0,1,93.0,5,2017,0,2017-04-22,2.296688541140846
118,965000.0,1983.0,890000.0,90405,Townhouse,2.0,3.0,34.025845000000004,-118.45335,1406.0,2.0,8040.0,2017-05-09,0,0,0,0,1,1,1,1,1,1,1,1,0,1,37.0,5,2017,0,2017-04-09,2.296688541140846
119,825000.0,1963.0,795000.0,90405,Condominium,2.0,2.0,34.011146999999994,-118.483314,820.0,2.0,20362.0,2017-05-08,0,0,1,0,0,1,0,0,0,1,1,0,1,1,57.0,5,2017,0,2017-04-08,2.296688541140846
120,1655000.0,1949.0,1649000.0,90405,Single Family Residence,3.0,1.0,34.015935,-118.463099,1284.0,1.0,6761.0,2017-06-02,1,1,0,0,0,0,0,1,1,1,1,1,0,0,71.0,6,2017,0,2017-05-03,2.33
121,1690000.0,1965.0,1575000.0,90405,Single Family Residence,3.0,2.0,34.02165,-118.45281,1480.0,1.0,5988.0,2017-05-10,1,1,0,0,0,1,0,0,1,1,1,0,0,0,55.0,5,2017,0,2017-04-10,2.37
122,1649000.0,1982.0,1649000.0,90405,Condominium,3.0,4.0,34.00235900000001,-118.48311499999998,2160.0,3.0,5016.0,2017-05-15,0,0,1,0,0,0,0,1,1,0,0,0,0,0,38.0,5,2017,0,2017-04-15,2.296688541140846
124,3005000.0,1945.0,2995000.0,90405,Single Family Residence,5.0,5.0,34.006325,-118.464276,3000.0,2.0,5000.0,2017-06-09,1,1,0,0,0,1,1,1,1,1,1,1,0,1,75.0,6,2017,0,2017-05-10,2.41
125,871000.0,1980.0,829000.0,90405,Condominium,2.0,3.0,34.023402000000004,-118.44965,1301.0,2.0,34069.0,2017-05-09,0,0,1,0,0,1,1,1,1,1,1,0,0,0,40.0,5,2017,0,2017-04-09,2.296688541140846
127,802000.0,1964.0,722000.0,90405,Condominium,2.0,2.0,34.005796999999994,-118.47609,875.0,2.0,5850.0,2017-04-28,0,0,1,0,0,0,0,1,1,1,0,0,0,1,56.0,4,2017,0,2017-03-29,2.39
128,998000.0,1980.0,998000.0,90405,Townhouse,2.0,3.0,34.023413,-118.449648,1777.0,1.0,34069.0,2017-06-01,0,0,0,0,1,1,1,1,1,1,1,1,0,1,40.0,6,2017,0,2017-05-02,2.29
129,665000.0,1977.0,695000.0,90405,Condominium,2.0,2.0,34.014712,-118.478952,826.0,1.0,14832.0,2017-06-13,0,0,1,0,0,1,0,0,1,1,1,0,0,1,43.0,6,2017,0,2017-05-14,2.296688541140846
130,1792500.0,1936.0,1625000.0,90405,Single Family Residence,4.0,2.0,34.018843,-118.465058,1847.0,1.0,6755.0,2017-05-04,1,1,0,0,0,0,0,1,1,1,1,0,0,0,84.0,5,2017,0,2017-04-04,2.36
131,2195000.0,1926.0,2390000.0,90405,Single Family Residence,4.0,4.0,34.019123,-118.465749,2415.0,1.0,6764.0,2017-06-21,1,1,0,0,0,0,1,1,1,1,1,0,0,0,94.0,6,2017,0,2017-05-22,2.25
132,2300000.0,1940.0,1949000.0,90405,Single Family Residence,4.0,3.0,34.016896,-118.4606,1871.0,1.0,6751.0,2017-05-02,1,1,0,0,0,1,1,1,1,1,1,0,0,0,80.0,5,2017,0,2017-04-02,2.296688541140846
